3301,33,KABUPATEN CILACAP,-7.7267967,109.009662,UMKM KABUPATEN CILACAP
3302,33,KABUPATEN BANYUMAS,-7.5159249,109.2938241,UMKM KABUPATEN BANYUMAS
3303,33,KABUPATEN PURBALINGGA,-7.3888648,109.360163,UMKM KABUPATEN PURBALINGGA
3304,33,KABUPATEN BANJARNEGARA,-7.3961114,109.69516,UMKM KABUPATEN BANJARNEGARA
3305,33,KABUPATEN KEBUMEN,-7.6686894,109.6519465,UMKM KABUPATEN KEBUMEN
3306,33,KABUPATEN PURWOREJO,-7.7130136,110.0091162,UMKM KABUPATEN PURWOREJO
3307,33,KABUPATEN WONOSOBO,-7.3586632,109.9030206,UMKM KABUPATEN WONOSOBO
3308,33,KABUPATEN MAGELANG,-7.4771114,110.2182534,UMKM KABUPATEN MAGELANG
3309,33,KABUPATEN BOYOLALI,-7.5344079,110.6041944,UMKM KABUPATEN BOYOLALI
3310,33,KABUPATEN KLATEN,-7.70806,110.6048559,UMKM KABUPATEN KLATEN
3311,33,KABUPATEN SUKOHARJO,-7.6829886,110.8406284,UMKM KABUPATEN SUKOHARJO
3312,33,KABUPATEN WONOGIRI,-7.8144376,110.9258723,UMKM KABUPATEN WONOGIRI
3313,33,KABUPATEN KARANGANYAR,-7.5976907,110.9470611,UMKM KABUPATEN KARANGANYAR
3314,33,KABUPATEN SRAGEN,-7.4273971,111.023678,UMKM KABUPATEN SRAGEN
3315,33,KABUPATEN GROBOGAN,-7.0320002,110.9169782,UMKM KABUPATEN GROBOGAN
3316,33,KABUPATEN BLORA,-6.9691528,111.4130521,UMKM KABUPATEN BLORA
3317,33,KABUPATEN REMBANG,-6.7056856,111.3486234,UMKM KABUPATEN REMBANG
3318,33,KABUPATEN PATI,-6.7534144,111.0399982,UMKM KABUPATEN PATI
3319,33,KABUPATEN KUDUS,-6.8170915,110.838189,UMKM KABUPATEN KUDUS
3320,33,KABUPATEN JEPARA,-6.5906502,110.6673202,UMKM KABUPATEN JEPARA
3321,33,KABUPATEN DEMAK,-6.8947858,110.6385399,UMKM KABUPATEN DEMAK
3322,33,KABUPATEN SEMARANG,-7.266012,110.4108,UMKM KABUPATEN SEMARANG
3323,33,KABUPATEN TEMANGGUNG,-7.3162377,110.1754504,UMKM KABUPATEN TEMANGGUNG
3324,33,KABUPATEN KENDAL,-6.9217033,110.2040344,UMKM KABUPATEN KENDAL
3325,33,KABUPATEN BATANG,-7.0316399,109.723295,UMKM KABUPATEN BATANG
3326,33,KABUPATEN PEKALONGAN,-6.8939623,109.6731758,UMKM KABUPATEN PEKALONGAN
3327,33,KABUPATEN PEMALANG,-6.8903574,109.3806499,UMKM KABUPATEN PEMALANG
3328,33,KABUPATEN TEGAL,-6.8673767,109.1378833,UMKM KABUPATEN TEGAL
3329,33,KABUPATEN BREBES,-6.8705951,109.0368843,UMKM KABUPATEN BREBES
3371,33,KOTA MAGELANG,-7.4771114,110.2182534,UMKM KOTA MAGELANG
3372,33,KOTA SURAKARTA,-7.5692462,110.828448,UMKM KOTA SURAKARTA
3373,33,KOTA SALATIGA,-7.3302642,110.4995353,UMKM KOTA SALATIGA
3374,33,KOTA SEMARANG,-6.9904038,110.4229455,UMKM KOTA SEMARANG
3375,33,KOTA PEKALONGAN,-6.8939623,109.6731758,UMKM KOTA PEKALONGAN
3376,33,KOTA TEGAL,-6.8673767,109.1378833,UMKM KOTA TEGAL
